"Cấp","Tỉnh/Thành","Tổng quan","Diện tích                 (km²)","Dân số","Mật độ                 (người/km²)","Mã số","GeoJSON, Shapefile, KML"
"Tỉnh","An Giang","Sáp nhập: An Giang, Kiên GiangQuy mô: 102 đơn vị (14 phường , 85 xã, và 3 đặc khu: Phú Quốc, Kiên Hải, Thổ Châu)UBND: Số 16C Tôn Đức Thắng, Mỹ Bình, An Giang                                               90000                                                                   ☎ 296                                                                    67, 68","9.986,95","4.995.214","500,17","91","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Bắc Ninh","Sáp nhập: Bắc Ninh, Bắc GiangQuy mô: 99 đơn vị (33 phường, 66 xã)UBND: Số 82 Hùng Vương, Bắc Giang, Bắc Ninh                                               22000                                                                   ☎ 222                                                                    98, 99","4.718,61","3.619.443","767,06","24","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Cao Bằng","Sáp nhập: không sáp nhậpQuy mô: 56 đơn vị (3 phường, 53 xã)UBND: Số 11 Hoàng Đình Giong, Thục Phán, Cao Bằng                                               02000                                                                   ☎ 206                                                                    11","6.700,38","573.119","85,54","04","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Cà Mau","Sáp nhập: Cà Mau, Bạc LiêuQuy mô: 64 đơn vị (9 phường, 55 xã)UBND: Số 02 Hùng Vương, Tân Thành, Cà Mau                                               02000                                                                   ☎ 290                                                                    69, 94","6.310,45","1.988.464","315,11","96","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Thành phố","Cần Thơ","Sáp nhập: Cần Thơ, Sóc Trăng, Hậu GiangQuy mô: 103 đơn vị (31 phường, 72 xã)UBND: Số 02 Hòa Bình, Ninh Kiều, Cần Thơ                                               95000                                                                   ☎ 292                                                                    65, 83, 95","6.360,82","4.199.788","660,26","92","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Thành phố","Đà Nẵng","Sáp nhập: Đà Nẵng, Quảng NamQuy mô: 94 đơn vị (23 phường, 70 xã và 1 đặc khu Hoàng Sa)UBND: Số 24 Trần Phú, Hải Châu, Đà Nẵng                                               58000                                                                   ☎ 236                                                                    43, 92","11.913,08","3.122.915","262,14","48","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Đắk Lắk","Sáp nhập: Đắk Lắk, Phú YênQuy mô: 102 đơn vị (14 phường, 88 xã)UBND: Số 9 Lê Duẩn, Buôn Ma Thuột, Đắk Lắk                                               67000                                                                   ☎ 262                                                                    47, 78","18.096,37","3.346.853","184,95","66","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Điện Biên","Sáp nhập: không sáp nhậpQuy mô: 45 đơn vị (3 phường, 42 xã)UBND: Số 851 Võ Nguyên Giáp, Mường Thanh, Điện Biên                                               	14000                                                                   ☎ 215                                                                    27","9.539,27","673.091","70,56","11","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Đồng Nai","Sáp nhập: Đồng Nai, Bình PhướcQuy mô: 95 đơn vị (23 phường và 72 xã)UBND: Số 2 Nguyễn Văn Trị, Biên Hòa, Đồng Nai                                               92000                                                                   ☎ 251                                                                    39, 60, 93","12.737,36","4.491.408","352,62","75","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Đồng Tháp","Sáp nhập: Tiền Giang, Đồng ThápQuy mô: 102 đơn vị (20 phường, 82 xã)UBND: Số 12 30/4, Mỹ Tho, Đồng Tháp                                               83000                                                                   ☎ 277                                                                    63, 66","5.939","4.370.046","735,82","82","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Tỉnh","Gia Lai","Sáp nhập: Gia Lai, Bình ĐịnhQuy mô: 135 đơn vị (25 phường, 110 xã)UBND: Số 1 Trần Phú, Quy Nhơn, Gia Lai                                               	63000                                                                   ☎ 269                                                                    77, 81","21.576,56","3.583.691","166,09","52","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
"Thành phố","Hà Nội","Sáp nhập: không sáp nhậpQuy mô: 126 đơn vị (51 phường,  75 xã)UBND: Số 79 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội                                               10000                                                                   ☎ 24                                                                    29; 30; 31; 32; 33; 40","3.359,77","8.807.523","2.621,47","01","Tải về (tỉnh thành)                                                                               Tải về (phường xã)"
